entity_id,department_id,account_id,scenario_id,period_id,amount_local,amount_usd
1,1,1,1,1,4072301.31,4038378.93
1,1,1,1,2,3910725.13,4025450.47
1,1,1,1,3,4300737.03,4359591.52
1,1,1,1,4,4250767.15,4322521.0
1,1,1,1,5,4237972.35,4178635.72
1,1,1,1,6,4287365.82,4242396.42
1,1,1,1,7,3913485.3,3823630.0
1,1,1,1,8,3866105.07,3964422.75
1,1,1,1,9,3838244.99,3856369.93
1,1,1,1,10,3470286.17,3570988.03
1,1,1,1,11,3674738.42,3737909.08
1,1,1,1,12,3765367.23,3764237.96
1,1,1,1,13,4123729.71,4244266.89
1,1,1,1,14,4157906.37,4234551.76
1,1,1,1,15,4194016.76,4156607.29
1,1,1,1,16,4303627.48,4292038.97
1,1,1,1,17,4441322.52,4517211.68
1,1,1,1,18,4256186.0,4233326.04
1,1,1,1,19,4296143.18,4217694.07
1,1,1,1,20,3883752.09,4002217.73
1,1,1,1,21,4081567.4,4008217.03
1,1,1,1,22,3864809.74,3819359.36
1,1,1,1,23,3966931.2,4005382.88
1,1,1,1,24,4029028.23,4114192.0
1,1,1,1,25,4291133.98,4176692.6
1,1,1,1,26,4352833.84,4395913.8
1,1,1,1,27,4323094.74,4431216.42
1,1,1,1,28,4516048.37,4628047.11
1,1,1,1,29,4555986.43,4463152.85
1,1,1,1,30,4526208.16,4498318.58
1,1,1,1,31,4346076.08,4267553.1
1,1,1,1,32,4050131.86,3995000.85
1,1,1,1,33,3803253.75,3794904.96
1,1,1,1,34,3858528.1,3751972.09
1,1,1,1,35,3924499.7,3953359.22
1,1,1,1,36,4147998.85,4135179.79
1,1,1,1,37,4294250.3,4210874.98
1,1,1,1,38,4463154.03,4431689.04
1,1,1,1,39,4499841.44,4404268.81
1,1,1,1,40,4384972.54,4364894.03
1,1,1,1,41,4476186.76,4421798.64
1,1,1,1,42,4183220.25,4300627.38
1,1,1,1,43,4093570.36,4161401.2
1,1,1,1,44,4038852.57,4090391.5
